,number,form.food.ate_past_24_h,form.food.nbr_eat_7_day,form.food.fooditem,food,nbr_food,number_meals,Ano,Mês,Dia,Cluster
0,1721,1,7.0,bageda,,,,,,,Cluster 1
1,7520,1,26.0,raketa_mena,,,,,,,Cluster 2
2,5980,1,14.0,raketa_mena,,,,,,,Cluster 2
3,2220,1,4.0,balahazo _maina,,,,,,,Cluster 3
4,5830,0,4.0,tsako,,,,,,,Cluster 0
5,2386,0,1.0,ravi_balahazo,,,,,,,Cluster 0
6,342,1,3.0,balahazo _maina,1,1.0,2.0,2018.0,agosto,8.0,Cluster 3
7,9070,0,3.0,legumes_hafa,,,,,,,Cluster 0
8,6171,1,7.0,bageda,,,,,,,Cluster 1
9,4480,1,7.0,ampemba,,,,,,,Cluster 1
10,8136,0,1.0,bageda,,,,,,,Cluster 0
11,6413,1,3.0,balahazo _maina,,,,,,,Cluster 3
12,5715,1,7.0,balahazo _maina,,,,,,,Cluster 1
13,2394,0,0.0,ampemba,,,,,,,Cluster 0
14,9332,1,4.0,ravina_hafa,,,,,,,Cluster 3
15,1602,1,4.0,pitipoa,,,,,,,Cluster 3
16,2123,1,3.0,bageda,,,,,,,Cluster 3
17,8601,0,5.0,ampemba,,,,,,,Cluster 0
18,101,1,7.0,balahazo _maina,16,1.0,3.0,2018.0,agosto,8.0,Cluster 1
19,11240,1,7.0,antake,,,,,,,Cluster 1
20,5631,1,7.0,voanemba,,,,,,,Cluster 1
21,10063,1,7.0,raketa_mena,,,,,,,Cluster 1
22,9261,0,7.0,bageda,,,,,,,Cluster 0
23,10631,1,7.0,balahazo _maina,,,,,,,Cluster 1
24,6250,1,7.0,taboara,,,,,,,Cluster 1
25,6791,1,3.0,Menaka,,,,,,,Cluster 3
26,810,1,14.0,raketa_mena,1 16,2.0,0.0,2018.0,agosto,7.0,Cluster 2
27,1411,1,7.0,voanemba,,,,,,,Cluster 1
28,77514,0,0.0,balahazo _maina,,,,,,,Cluster 0
29,3620,1,7.0,hazan-dranomasina,,,,,,,Cluster 1
30,9001,1,7.0,voanemba,,,,,,,Cluster 1
31,5381,1,3.0,balahazo _maina,,,,,,,Cluster 3
32,8592,1,4.0,ampemba,,,,,,,Cluster 3
33,5222,1,1.0,balahazo _maina,,,,,,,Cluster 3
34,4563,1,7.0,bageda,,,,,,,Cluster 1
35,1170,1,14.0,raketa_mena,2 21 25 7,4.0,3.0,2019.0,setembro,23.0,Cluster 2
36,9562,1,7.0,bageda,,,,,,,Cluster 1
37,3716,1,4.0,sakafo_hafa_soraty,,,,,,,Cluster 3
38,7721,0,2.0,voanemba,,,,,,,Cluster 0
39,7872,1,3.0,vary,,,,,,,Cluster 3
40,740,1,7.0,raketa_mena,12 5,2.0,0.0,2019.0,setembro,14.0,Cluster 1
41,8991,1,6.0,Menaka,,,,,,,Cluster 1
42,8811,1,5.0,Menaka,,,,,,,Cluster 1
43,3833,1,1.0,ravina_hafa,,,,,,,Cluster 3
44,9085,1,7.0,bageda,,,,,,,Cluster 1
45,4663,1,7.0,Menaka,,,,,,,Cluster 1
46,5480,1,12.0,raketa_mena,,,,,,,Cluster 2
47,8310,1,7.0,raketa_mena,,,,,,,Cluster 1
48,7281,1,2.0,legumes,,,,,,,Cluster 3
49,11702,1,7.0,Menaka,,,,,,,Cluster 1
50,8530,1,7.0,tsako,,,,,,,Cluster 1
51,6782,1,4.0,ampemba,,,,,,,Cluster 3
52,8133,0,0.0,hena_omby,,,,,,,Cluster 0
53,7581,0,0.0,voanemba,,,,,,,Cluster 0
54,11110,1,7.0,balahazo _maina,,,,,,,Cluster 1
55,1674,1,7.0,balahazo _maina,,,,,,,Cluster 1
56,8020,1,6.0,tsako,,,,,,,Cluster 1
57,3750,1,3.0,ampemba,,,,,,,Cluster 3
58,8081,0,0.0,voanemba,,,,,,,Cluster 0
59,11790,1,7.0,raketa_mena,,,,,,,Cluster 1
60,9860,0,4.0,tsako,,,,,,,Cluster 0
61,11855,1,3.0,hazan-dranomasina,,,,,,,Cluster 3
62,847,1,7.0,ravina_hafa,5,1.0,3.0,2018.0,agosto,8.0,Cluster 1
