"protocolo";"data_manifestacao";"municipio_denunciante";"municipio_fato";"localFato";"manifestacao";"status_atual";"desc_status";"sigla";"nome";"tipo_manifestacao";"assunto";"sub_assunto"
"2020.0304.134443-14";"2020-03-04 13:44:43";;"GOIANIA";"Setor campinas";"A igreja congregação cristã no brasil faz uso de copo coletivo nos dias de santa ceia ou seja se em uma igreja têm 500membros são 500pessoas tomando vinho no mesmo copo...isso pra eles é comum mais pode ser transmitidas vários tipos de doenças nos seus respectivos membros...por favor tomem alguma providência porque estamos diante de uma catástrofe anunciada !!";"55";"Finalizado pela ouvidoria do Órgão.";"SES";"Secretaria de Estado da Saúde ";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0313.090346-19";"2020-03-13 09:03:46";"GOIANIA";"GOIANIA";"Rua Sergipe, Qd. B, Lt. 8, Bl-7, Apto. 301, Setor Urias Magalhães, Goiânia - GO, CEP: 74.565-220";"ILUSTRÍSSIMO (A) SENHOR (A) SUPERINTENDENTE DOS VAPT-VUPT'S DA SECRETARIA DE ADMINISTRAÇÃO DO ESTADO DE GOIÁS URGENTÍSSIMO!!! Assunto: Coronavírus (Sars-Cov-2) - Doença Covid-19Órgão Estatal: Unidades de Atendimentos dos Vapt-Vupt's da SEAD/GO Goiânia, 13 de março de 2020. MARCELO SANTOS DE OLIVEIRA, brasileiro, solteiro, funcionário público efetivo e advogado inscrito na OAB/GO 35.340, portador do RG 4371122 da SSP/GO, CPF 007.086.881-60, residente e domiciliado na Rua Sergipe, Qd. B, Lt. 8, Bl-7, Apto. 301, Setor Urias Magalhães, Goiânia - GO, CEP: 74.565-220, e-mail: marceloassjur@hotmail.com, vem, à presença de Vossa Senhoria, com fundamento da Lei Estadual nº 19.145, de 29 de dezembro de 2015 (que dispõe sobre a Política de Segurança e Saúde no Trabalho dos Servidores Públicos do Poder Executivo e dá outras providências), requerer PROVIDÊNCIAS junto ao ESTADO DE GOIÁS, através desta SUPERINTENDÊNCIA DOS VAPT-VUPT's da SECRETARIA DE ESTADO DA ADMINISTRAÇÃO DE GOIÁS, quanto a pandemia decretada pela OMS, referente ao novo coronavírus (Sars-Cov-2) causador da doença Covid-19. Ilmo. (a) Sr. (a) Superintendente,A par de cumprimenta-lo, sirvo-me da presente para requerer imediatas e urgente providências quanto ao atendimento dos Vapt-Vupt's do Estado de Goiás (interior e capital).Sabemos que os Vapt-Vupt's do Estado realizam milhares atendimentos diários, por inúmeros funcionários públicos, todos eles estão instalados em locais fechados/isolados.Diante disso, não há dúvidas quanto a possibilidade de risco de proliferação e/ou propagação da doença, sobretudo porque nesses locais onde possui uma grande aglomeração de usuários.Também, sabemos que em todos atendimentos nos Vapt-Vupt's há o contato direto entre usuário e o funcionário público, desde o atendimento inicial.E mais, em todos os atendimentos há contatos de usuários e funcionários públicos com maquinários e documentos internos e externos, estes últimos com possibilidade de vírus.Melhor esclarecendo, além dos documentos manuseados pelo servidor, e pelos usuários, nos Vapt-Vupt's distribuem senhas, o que certamente é um grande risco de contaminação e propagação do coronavírus.Ainda, o coronavírus (Sars-Cov-2), causador da doença Covid-19, se manifesta em até 7 (sete) dias, não sabendo o usuário, ou o funcionário público, se está contagiado.O caso é de extrema urgência e preocupação. Além do mais, os Vapt-Vupt's não está preparados para prevenir o coronavírus (Sars-Cov-2) - doença Covid-19.Até porque, não possui condições necessárias de garantir ao usuário/cidadão, e ao funcionário público, as condições necessárias e mínimas de prevenção da pandemia.Com isso, é extremamente necessária a restrição de algumas atividades ou separação de pessoas, evitando-se, assim, a aproximação de pessoas suspeitas de contaminação das pessoas que não estejam doentes.O que estamos presenciando através dos jornais, mídias e redes sociais, é que o Governo do Estado está preocupado apenas com a aglomeração de pessoas em "eventos".Entretanto, o Estado de Goiás até o momento não se posicionou quanto ao atendimento e funcionamento dos Vapt-Vupt's, que é muito mais grave do que qualquer "evento".A situação, além de grave, é alarmante. É necessário que sejam tomadas as medidas de urgências, como, por exemplo, a suspensão dos atendimentos nos Vapt-Vupt's, antes do "caos".Em que pese a relevância do atendimento nos Vapt-Vupt's, e da continuidade do serviço público, necessário esclarecer que a maioria dos atendimentos, ao cidadão, podem ser feitos on-line (pela internet).Outros serviços, em que se exige o comparecimento pessoal, podem ser feitos nos próprios órgãos, ou, então, através de agendamento que poderá ser disponibilizado nos sites de cada Unidade.A emergência sanitária no Brasil foi decretada no dia 4 de fevereiro - antes da confirmação do primeiro caso no país, no dia 26.Em Goiás, são 3 (três) casos confirmados, e mais de 30 (trinta) suspeitos. Na maioria, ou em todos casos, o Covid-19 foi transmitido por contatos entre pessoas ou objetos.Assim, é necessário que o Governo do Estado, e as Autoridades, se preocupem com os atendimentos feitos nos Vapt-Vupt's, apresentando uma solução imediata.Pois bem.Em Goiás, foi aprovada a Lei Estadual nº 19.145, de 29 de dezembro de 2015 (que dispõe sobre a Política de Segurança e Saúde no Trabalho dos Servidores Públicos do Poder Executivo e dá outras providências).Esta Lei institui, no âmbito da Administração Pública direta e indireta do Poder Executivo, a Política de Segurança e Saúde no Trabalho dos Servidores Públicos, que consubstancia o conjunto de princípios, diretrizes e estratégias para o desenvolvimento de atenção integral à saúde no trabalho, com ênfase nas ações de vigilância, assistência e educação em segurança e saúde. O Estado de Goiás tem, portanto, o dever de agir, ou seja, de realizar atividades no sentido de promover a prevenção e saúde dos servidores, dentre";"55";"Finalizado pela ouvidoria do Órgão.";"SEAD";"Secretaria de Estado de Administração (Antiga SEGPLAN)";"Solicitação";"COVID-19 - Corona Vírus";"Informações"
"2020.0313.120416-17";"2020-03-13 12:04:16";;"ANAPOLIS";"ANIMA CENTRO HOSPITALAR LTDA CNPJ 18034143000180";"Venho por meu deste realizar a denuncia de que a unidade de saúde ANIMA CENTRO HOSPITALAR LTDA CNPJ 18034143000180.Localizado Av. Brasil Norte, nº 3790, Quadra 8, Lote 01-10, Cidade Universitária, Anápolis-GO(62) 3771-2700contato@hospitalanima.com.brhttps://hospitalanima.com.brEstá obrigando todos os funcionários a não utilizarem máscaras(EPI essencial), para não assustar os pacientes que frequentam o local.Neste hospital teve um dos primeiros casos de suspeita de Coronavirus disease (COVID-19) da cidade de Anápolis em Goiás no dia 06/03/2020.Direção do hospital está com medo de diminuição do faturamento devido  população ficar assustada ao chegar ao local que já teve suspeita de Coronavirus disease (COVID-19)  e se depararem com todos os funcionários utilizando máscaras.Quando algum supervisor do hospital encontra funcionários utilizando máscara(EPI) solicita que o mesmo retire para não assustar os pacientes.";"55";"Finalizado pela ouvidoria do Órgão.";"SES";"Secretaria de Estado da Saúde ";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0314.132210-80";"2020-03-14 13:22:10";;"GOIANIA";"Cemac Juarez barbosa";"Alguém ligado ao governador Ronaldo Caiado poderia visitar a central de medicamentos Juarez Barbosa e logo de cara vai ver um elevador pra pacientes e funcionários e outro estragado. Com essa pandemia funcionários não tem segurança de nada. É um absurdo isso. Lá passa 3 mil pessoas/dia. ";"55";"Finalizado pela ouvidoria do Órgão.";"SES";"Secretaria de Estado da Saúde ";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0314.215152-35";"2020-03-14 21:51:52";;"GOIANIA";"Setor Candida de Morais";"Elogio com sugestão de ações ";"55";"Finalizado pela ouvidoria do Órgão.";"SGG/GOVERNADORIA";"Secretaria Geral da Governadoria ";"Elogio";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0315.135707-23";"2020-03-15 13:57:07";;"ABADIANIA";"Casa Dom Inácio e Pousadas";"Está previsto pra chegar em Abadiânia, na Pousada Caminho Encantado um turma de italianos, terça feira, 17/ 03. E a saúde municipal está omissa a tudo. Lembrando que já tem vários gringos que chegaram sem nenhum controle diante do caos do corona virus. Algumas pessoas da saúde ainda tentam desmentir os fatos, haja visto que tem ligações diretas com os negócios da casa Dom Inácio. Inclusive um enfermeiro é filho da dona da Pousada Caminho Encantado, se chama Ellyohander Boaventura. Algo deve ser feito. A população não pode ficar a mercê da sorte.";"55";"Finalizado pela ouvidoria do Órgão.";"SES";"Secretaria de Estado da Saúde ";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0316.083654-7";"2020-03-16 08:36:54";;"FORMOSA";"Case ";"Escolas fechadasEscritórios fechadosShopping vaziosEventos desmarcadosFérias canceladasVoos canceladosEconomia recuandoAté mesmo fronteiras internacionais trancadasPopulação assustada, olhando umas as outras e esquivando de contato ... e o CASE de Formosa, sem gestão, continua funcionando NORMALMENTE.";"55";"Finalizado pela ouvidoria do Órgão.";"SEDS";"Secretaria de Estado de Desenvolvimento Social (Antiga Secretaria Cidadã)";"Comunicação";"COVID-19 - Corona Vírus";"Estabelecimento aberto"
"2020.0316.115913-32";"2020-03-16 11:59:13";;"GOIANIA";"Seduc ";"Trabalho na Seduc a muitos anos. Hoje viemos trabalhar com a expectativa de respeitarem o Decreto do governo sobre o corona vírus. Mas para nossa surpresa, aqui não estão nem aí.Trabalhamos no dia a dia com banheiros sujos.. só existe papel e melhores condições no banheiro do pavilhão de cima. Pq as pessoas do gabinete frequentam lá. Aqui embaixo é o caos.Pensamos que teríamos o álcool gel.. as toalhas de papel.. o mínimo de condições previstas no decreto..ao contrário.. ninguém tá nem.ai. Trabalhamos atendendo pessoas que vem do estado inteiro..Não nos respeitam como servidores.. não respeitam nossas famílias..  Essa pandemia .. alerta mundial..o governo fez a parte dele..mas aqui..nada. disseram que não haverá revezamento pois nossa sala não tem 100 pessoas.. Enlouqueceram?? O decreto não fala em números.. fala em proteger o servidor..Mas aqui não estão nem um pouco preocupados.. queremos trabalhar..mas precisamos das nossas garantias de saúde.. as condições mínimas. Pedimos que olhem por nós da educação.. ";"55";"Finalizado pela ouvidoria do Órgão.";"SEDUC";"Secretaria de Estado da Educação";"Comunicação";"COVID-19 - Corona Vírus";"Outros"
"2020.0316.165150-60";"2020-03-16 16:51:50";;"APARECIDA DE GOIANIA";"Penitenciária Coronel Odenir Guimarães";"Solicito que revejam a questão da suspensão da entrega de alimentos, remédios e produtos de higiene (cobal) na Penitenciária Coronel Odenir Guimarães, a qual prevê que fiquem sem receber remédios, alimentos e demais bens básicos por mais de 15 dias, pois esses reeducandos dependem basicamente de suas famílias para se manterem minimamente, haja vista que o Estado não supre suas necessidades a contento. Embora essa decisão seja tomada para resguardar a saúde dos reeducandos e seus familiares, é relevante repensar outras possibilidades que não firam a dignidade da pessoa humana. Para além de se manterem livres do vírus, é primordial também se alimentarem bem e terem acesso a remédios para curar as dores e doenças que esses reclusos possuem. Como alternativa, a fim de minimizar a situação dos reeducandos que já sofrem com o encarceramento em um ambiente tão insalubre e em um Estado que possui poucas políticas púbicas para os atender, seria permitir a entrega da ""Cobal"" por seus familiares, e como medida de prevenção seria a utilização de máscaras e luvas.";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Denúncia";"COVID-19 - Corona Vírus";"Informações"
"2020.0316.203054-88";"2020-03-16 20:30:54";;"GOIANIA";"Vila Redenção";"Na empresa BTCC (prestadora de Serviços para OI) não esta havendo nenhuma ação (alteração/prevenção) visando evitar a possível propagação do CORONAVIRUS entre seus colaboradores (funcionários), haja visto que a empresa possui quase 10 mil funcionários em plena atividade em Goiânia, cujo contato e aglomeração favorecem esse tipo de disseminação tão combatida nesse momento de crise.Este fato se estende as demais Empresas Operadores de Telemarketing que, mesmo possuindo quantidades menores de funcionários, se tornam possíveis focos de propagação do Covid-19. ";"55";"Finalizado pela ouvidoria do Órgão.";"SES";"Secretaria de Estado da Saúde ";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
